_id,"T players","CT Players",Map,"T Steamids","CT steamids"
25-1-2021_11-16-2,9,3,jb_peanut_tango_v3,"STEAM_0:0:88404445 STEAM_0:1:117564385 STEAM_0:0:151280676 STEAM_0:0:556839837 STEAM_0:1:124882951 STEAM_0:0:142882459 STEAM_0:0:481275518 STEAM_0:0:122395788 STEAM_0:0:139817042","STEAM_0:0:167748498 STEAM_0:1:106519022 STEAM_0:1:113270576"
25-1-2021_11-21-2,8,2,jb_moti2_final,"STEAM_0:0:556839837 STEAM_0:0:481275518 STEAM_0:1:124882951 STEAM_0:1:181923640 STEAM_0:1:113270576 STEAM_0:1:117564385 STEAM_0:0:139817042 STEAM_0:0:142882459","STEAM_0:0:167748498 STEAM_0:0:88404445"
25-1-2021_11-26-2,8,3,jb_moti2_final,"STEAM_0:0:139817042 STEAM_0:1:501036899 STEAM_0:0:481275518 STEAM_0:1:124882951 STEAM_0:1:181923640 STEAM_0:1:113270576 STEAM_0:0:142882459 STEAM_0:0:151280676","STEAM_0:0:167748498 STEAM_0:0:88404445 STEAM_0:1:117564385"
25-1-2021_11-31-2,8,3,jb_moti2_final,"STEAM_0:0:139817042 STEAM_0:1:117564385 STEAM_0:0:151280676 STEAM_0:1:578873282 STEAM_0:1:124882951 STEAM_0:1:181923640 STEAM_0:1:113270576 STEAM_0:0:142882459","STEAM_0:0:167748498 STEAM_0:0:88404445 STEAM_0:1:501036899"
25-1-2021_11-36-2,10,3,jb_moti2_final,"STEAM_0:0:139817042 STEAM_0:1:113270576 STEAM_0:1:117564385 STEAM_0:0:151280676 STEAM_0:1:578873282 STEAM_0:1:124882951 STEAM_0:1:434877871 STEAM_0:0:62400328 STEAM_0:1:181923640 STEAM_0:0:142882459","STEAM_0:1:501036899 STEAM_0:0:167748498 STEAM_0:0:88404445"
25-1-2021_11-41-2,11,5,jb_moti2_final,"STEAM_0:0:139817042 STEAM_0:1:113270576 STEAM_0:1:117564385 STEAM_0:0:151280676 STEAM_0:1:124882951 STEAM_0:1:434877871 STEAM_0:0:434691432 STEAM_0:0:62400328 STEAM_0:1:181923640 STEAM_0:0:142882459 STEAM_0:1:457551723","STEAM_0:0:167748498 STEAM_0:1:501036899 STEAM_0:0:88404445 STEAM_0:1:578873282 STEAM_0:0:433406212"
25-1-2021_11-46-2,13,5,jb_moti2_final,"STEAM_0:0:139817042 STEAM_0:1:457551723 STEAM_0:1:181923640 STEAM_0:1:113270576 STEAM_0:1:117564385 STEAM_0:0:151280676 STEAM_0:1:124882951 STEAM_0:0:62400328 STEAM_0:0:142882459 STEAM_0:1:225179445 STEAM_0:1:434877871 STEAM_0:0:434691432 STEAM_0:0:175479973","STEAM_0:0:88404445 STEAM_0:0:167748498 STEAM_0:1:501036899 STEAM_0:0:433406212 STEAM_0:1:578873282"
25-1-2021_11-51-2,12,5,jb_moti2_final,"STEAM_0:1:457551723 STEAM_0:1:124882951 STEAM_0:0:139817042 STEAM_0:0:434691432 STEAM_0:1:181923640 STEAM_0:1:113270576 STEAM_0:1:117564385 STEAM_0:0:151280676 STEAM_0:0:142882459 STEAM_0:0:175479973 STEAM_0:1:434877871 STEAM_0:0:62400328","STEAM_0:0:167748498 STEAM_0:1:501036899 STEAM_0:0:433406212 STEAM_0:1:578873282 STEAM_0:1:152896539"
25-1-2021_11-56-2,10,4,jb_moti2_final,"STEAM_0:1:124882951 STEAM_0:1:117564385 STEAM_0:0:139817042 STEAM_0:0:151280676 STEAM_0:0:434691432 STEAM_0:1:113270576 STEAM_0:0:175479973 STEAM_0:0:526644643 STEAM_0:1:434877871 STEAM_0:0:62400328","STEAM_0:0:167748498 STEAM_0:1:501036899 STEAM_0:0:433406212 STEAM_0:1:152896539"
25-1-2021_12-1-2,9,4,jb_moti2_final,"STEAM_0:1:124882951 STEAM_0:1:117564385 STEAM_0:0:139817042 STEAM_0:0:151280676 STEAM_0:0:434691432 STEAM_0:1:113270576 STEAM_0:0:175479973 STEAM_0:0:483395202 STEAM_0:1:434877871","STEAM_0:0:167748498 STEAM_0:1:501036899 STEAM_0:0:433406212 STEAM_0:1:152896539"
25-1-2021_12-6-2,7,5,jb_moti2_final,"STEAM_0:1:124882951 STEAM_0:0:434691432 STEAM_0:0:139817042 STEAM_0:0:151280676 STEAM_0:0:175479973 STEAM_0:0:483395202 STEAM_0:1:434877871","STEAM_0:0:167748498 STEAM_0:1:501036899 STEAM_0:1:152896539 STEAM_0:1:113270576 STEAM_0:0:433406212"
25-1-2021_12-11-2,4,0,jb_spy_vs_spy_beta7,"STEAM_0:0:175479973 STEAM_0:1:434877871 STEAM_0:0:139817042 STEAM_0:1:501036899",""
25-1-2021_12-16-2,6,3,jb_spy_vs_spy_beta7,"STEAM_0:0:175479973 STEAM_0:1:113270576 STEAM_0:1:434877871 STEAM_0:0:434691432 STEAM_0:0:139817042 STEAM_0:1:120988046","STEAM_0:0:151280676 STEAM_0:0:483395202 STEAM_0:1:501036899"
25-1-2021_12-21-2,6,3,jb_spy_vs_spy_beta7,"STEAM_0:0:175479973 STEAM_0:1:113270576 STEAM_0:1:434877871 STEAM_0:1:519641530 STEAM_0:0:139817042 STEAM_0:1:120988046","STEAM_0:0:151280676 STEAM_0:1:501036899 STEAM_0:0:483395202"
25-1-2021_12-26-2,6,2,jb_spy_vs_spy_beta7,"STEAM_0:1:113270576 STEAM_0:1:434877871 STEAM_0:0:142882459 STEAM_0:1:519641530 STEAM_0:0:139817042 STEAM_0:1:120988046","STEAM_0:0:151280676 STEAM_0:1:501036899"
25-1-2021_12-31-2,4,2,jb_kwejsi_v5_fix,"STEAM_0:1:519641530 STEAM_0:0:139817042 STEAM_0:1:120988046 STEAM_0:0:71397196","STEAM_0:1:113270576 STEAM_0:0:151280676"
25-1-2021_12-36-2,4,1,jb_kwejsi_v5_fix,"STEAM_0:1:519641530 STEAM_0:1:120988046 STEAM_0:0:71397196 STEAM_0:0:151280676","STEAM_0:1:113270576"
25-1-2021_12-41-3,6,2,jb_kwejsi_v5_fix,"STEAM_0:1:490565591 STEAM_0:1:555144542 STEAM_0:1:519641530 STEAM_0:0:460199882 STEAM_0:0:71397196 STEAM_0:0:151280676","STEAM_0:1:113270576 STEAM_0:1:120988046"
25-1-2021_12-46-3,6,2,jb_kwejsi_v5_fix,"STEAM_0:1:490565591 STEAM_0:1:555144542 STEAM_0:1:519641530 STEAM_0:0:460199882 STEAM_0:0:71397196 STEAM_0:0:151280676","STEAM_0:1:113270576 STEAM_0:1:120988046"
25-1-2021_12-51-3,6,2,jb_kwejsi_v5_fix,"STEAM_0:1:490565591 STEAM_0:1:555144542 STEAM_0:1:502089637 STEAM_0:1:519641530 STEAM_0:0:460199882 STEAM_0:0:71397196","STEAM_0:1:113270576 STEAM_0:1:120988046"
25-1-2021_12-56-3,8,3,jb_kwejsi_v5_fix,"STEAM_0:1:555144542 STEAM_0:1:519641530 STEAM_0:1:490565591 STEAM_0:0:538172336 STEAM_0:1:502089637 STEAM_0:0:139817042 STEAM_0:0:71397196 STEAM_0:1:243982354","STEAM_0:1:120988046 STEAM_0:1:113270576 STEAM_0:0:460199882"
25-1-2021_13-1-3,8,3,jb_kwejsi_v5_fix,"STEAM_0:1:555144542 STEAM_0:1:120988046 STEAM_0:1:519641530 STEAM_0:1:490565591 STEAM_0:0:88404445 STEAM_0:0:538172336 STEAM_0:0:71397196 STEAM_0:1:243982354","STEAM_0:0:139817042 STEAM_0:1:113270576 STEAM_0:0:460199882"
25-1-2021_13-6-3,7,3,jb_kwejsi_v5_fix,"STEAM_0:1:555144542 STEAM_0:1:120988046 STEAM_0:1:519641530 STEAM_0:0:88404445 STEAM_0:0:538172336 STEAM_0:1:585916437 STEAM_0:1:243982354","STEAM_0:0:139817042 STEAM_0:1:113270576 STEAM_0:0:460199882"
25-1-2021_13-11-3,10,4,jb_kwejsi_v5_fix,"STEAM_0:1:519641530 STEAM_0:1:120988046 STEAM_0:1:243982354 STEAM_0:1:502089637 STEAM_0:1:152896539 STEAM_0:0:88404445 STEAM_0:0:538172336 STEAM_0:1:99373465 STEAM_0:1:562826623 STEAM_0:1:585916437","STEAM_0:0:139817042 STEAM_0:1:555144542 STEAM_0:1:113270576 STEAM_0:0:460199882"
25-1-2021_13-16-3,11,3,jb_kwejsi_v5_fix,"STEAM_0:1:519641530 STEAM_0:1:502089637 STEAM_0:1:152896539 STEAM_0:0:460199882 STEAM_0:1:243982354 STEAM_0:1:99373465 STEAM_0:0:88404445 STEAM_0:0:538172336 STEAM_0:1:111697458 STEAM_0:1:562826623 STEAM_0:1:585916437","STEAM_0:0:139817042 STEAM_0:1:113270576 STEAM_0:1:555144542"
25-1-2021_13-21-3,10,5,jb_minecraft_tango_v2,"STEAM_0:0:156561926 STEAM_0:1:585916437 STEAM_0:1:243982354 STEAM_0:1:502089637 STEAM_0:1:99373465 STEAM_0:0:460199882 STEAM_0:0:538172336 STEAM_0:1:120988046 STEAM_0:1:152896539 STEAM_0:1:519641530","STEAM_0:1:562826623 STEAM_0:1:555144542 STEAM_0:0:139817042 STEAM_0:1:113270576 STEAM_0:0:88404445"
25-1-2021_13-26-3,10,5,jb_minecraft_tango_v2,"STEAM_0:1:99373465 STEAM_0:0:156561926 STEAM_0:1:152896539 STEAM_0:1:585916437 STEAM_0:1:555144542 STEAM_0:1:243982354 STEAM_0:0:175479973 STEAM_0:1:502089637 STEAM_0:0:460199882 STEAM_0:1:519641530","STEAM_0:0:139817042 STEAM_0:1:113270576 STEAM_0:0:88404445 STEAM_0:1:562826623 STEAM_0:0:167748498"
25-1-2021_13-31-3,13,6,jb_minecraft_tango_v2,"STEAM_0:1:99373465 STEAM_0:0:156561926 STEAM_0:1:152896539 STEAM_0:1:585916437 STEAM_0:1:243982354 STEAM_0:0:175479973 STEAM_0:1:502089637 STEAM_0:1:427402928 STEAM_0:0:460199882 STEAM_0:1:513551535 STEAM_0:1:553925598 STEAM_0:1:120988046 STEAM_0:1:519641530","STEAM_0:0:139817042 STEAM_0:1:113270576 STEAM_0:0:88404445 STEAM_0:0:167748498 STEAM_0:1:562826623 STEAM_0:1:555144542"
25-1-2021_13-36-3,9,6,jb_minecraft_tango_v2,"STEAM_0:1:99373465 STEAM_0:0:156561926 STEAM_0:1:519641530 STEAM_0:1:243982354 STEAM_0:1:427402928 STEAM_0:0:460199882 STEAM_0:1:513551535 STEAM_0:1:553925598 STEAM_0:1:120988046","STEAM_0:0:88404445 STEAM_0:0:167748498 STEAM_0:1:113270576 STEAM_0:1:555144542 STEAM_0:1:562826623 STEAM_0:0:175479973"
25-1-2021_13-41-3,11,5,jb_minecraft_tango_v2,"STEAM_0:1:99373465 STEAM_0:0:156561926 STEAM_0:1:555144542 STEAM_0:1:117564385 STEAM_0:0:444382142 STEAM_0:1:427402928 STEAM_0:0:460199882 STEAM_0:1:513551535 STEAM_0:1:553925598 STEAM_0:1:120988046 STEAM_0:1:54395666","STEAM_0:0:88404445 STEAM_0:0:167748498 STEAM_0:1:113270576 STEAM_0:0:175479973 STEAM_0:1:562826623"
25-1-2021_13-46-3,10,4,jb_minecraft_tango_v2,"STEAM_0:1:99373465 STEAM_0:0:156561926 STEAM_0:1:555144542 STEAM_0:1:117564385 STEAM_0:0:95332133 STEAM_0:0:460199882 STEAM_0:1:513551535 STEAM_0:1:553925598 STEAM_0:1:120988046 STEAM_0:0:196385065","STEAM_0:0:88404445 STEAM_0:0:167748498 STEAM_0:1:113270576 STEAM_0:0:175479973"
25-1-2021_13-51-3,12,5,jb_minecraft_tango_v2,"STEAM_0:1:99373465 STEAM_0:0:156561926 STEAM_0:0:542944298 STEAM_0:1:117564385 STEAM_0:0:55265989 STEAM_0:0:95332133 STEAM_0:0:460199882 STEAM_0:1:513551535 STEAM_0:0:433406212 STEAM_0:1:553925598 STEAM_0:1:120988046 STEAM_0:0:196385065","STEAM_0:0:167748498 STEAM_0:0:88404445 STEAM_0:1:113270576 STEAM_0:0:175479973 STEAM_0:1:555144542"
25-1-2021_13-56-3,11,5,jb_minecraft_tango_v2,"STEAM_0:1:99373465 STEAM_0:0:156561926 STEAM_0:1:117564385 STEAM_0:0:55265989 STEAM_0:0:95332133 STEAM_0:0:460199882 STEAM_0:1:513551535 STEAM_0:0:433406212 STEAM_0:1:553925598 STEAM_0:1:120988046 STEAM_0:0:196385065","STEAM_0:0:88404445 STEAM_0:0:167748498 STEAM_0:1:113270576 STEAM_0:0:175479973 STEAM_0:1:555144542"
